vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS EMITIDOS,310.0,100.0,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
TOTAL DE VOTOS VÁLIDOS,569.0,61.05,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
VOTOS EN BLANCO,152.0,16.31,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
VOTOS NULOS,211.0,22.64,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
TOTAL DE VOTOS EMITIDOS,932.0,100.0,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
TOTAL DE VOTOS VÁLIDOS,542.0,77.1,010310,PERÚ,AMAZONAS,BONGARA,VALERA
VOTOS EN BLANCO,138.0,19.63,010310,PERÚ,AMAZONAS,BONGARA,VALERA
VOTOS NULOS,23.0,3.27,010310,PERÚ,AMAZONAS,BONGARA,VALERA
TOTAL DE VOTOS EMITIDOS,703.0,100.0,010310,PERÚ,AMAZONAS,BONGARA,VALERA
TOTAL DE VOTOS VÁLIDOS,2389.0,77.77,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
VOTOS EN BLANCO,576.0,18.75,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
VOTOS NULOS,107.0,3.48,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
TOTAL DE VOTOS EMITIDOS,3072.0,100.0,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
TOTAL DE VOTOS VÁLIDOS,22364.0,79.23,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
VOTOS EN BLANCO,4280.0,15.16,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
VOTOS NULOS,1582.0,5.6,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
TOTAL DE VOTOS EMITIDOS,28226.0,100.0,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
TOTAL DE VOTOS VÁLIDOS,147.0,73.87,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
VOTOS EN BLANCO,37.0,18.59,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
VOTOS NULOS,15.0,7.54,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
TOTAL DE VOTOS EMITIDOS,199.0,100.0,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
