vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS EMITIDOS,226.0,100.0,010307,PERÚ,AMAZONAS,BONGARA,RECTA
TOTAL DE VOTOS VÁLIDOS,296.0,95.793,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
VOTOS EN BLANCO,2.0,0.647,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
VOTOS NULOS,11.0,3.56,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
TOTAL DE VOTOS EMITIDOS,309.0,100.0,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
TOTAL DE VOTOS VÁLIDOS,838.0,94.796,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
VOTOS EN BLANCO,6.0,0.679,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
VOTOS NULOS,40.0,4.525,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
TOTAL DE VOTOS EMITIDOS,884.0,100.0,010309,PERÚ,AMAZONAS,BONGARA,SHIPASBAMBA
TOTAL DE VOTOS VÁLIDOS,631.0,93.62,010310,PERÚ,AMAZONAS,BONGARA,VALERA
VOTOS EN BLANCO,3.0,0.445,010310,PERÚ,AMAZONAS,BONGARA,VALERA
VOTOS NULOS,40.0,5.935,010310,PERÚ,AMAZONAS,BONGARA,VALERA
TOTAL DE VOTOS EMITIDOS,674.0,100.0,010310,PERÚ,AMAZONAS,BONGARA,VALERA
TOTAL DE VOTOS VÁLIDOS,2771.0,93.425,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
VOTOS EN BLANCO,47.0,1.585,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
VOTOS NULOS,148.0,4.99,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
TOTAL DE VOTOS EMITIDOS,2966.0,100.0,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
TOTAL DE VOTOS VÁLIDOS,25481.0,93.453,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
VOTOS EN BLANCO,228.0,0.836,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
VOTOS NULOS,1557.0,5.71,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
TOTAL DE VOTOS EMITIDOS,27266.0,100.0,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
TOTAL DE VOTOS VÁLIDOS,168.0,89.84,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
VOTOS EN BLANCO,6.0,3.209,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
VOTOS NULOS,13.0,6.952,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
TOTAL DE VOTOS EMITIDOS,187.0,100.0,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
TOTAL DE VOTOS VÁLIDOS,616.0,93.192,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
VOTOS EN BLANCO,11.0,1.664,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
VOTOS NULOS,34.0,5.144,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
TOTAL DE VOTOS EMITIDOS,661.0,100.0,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
TOTAL DE VOTOS VÁLIDOS,13055.0,94.389,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
VOTOS EN BLANCO,52.0,0.376,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
VOTOS NULOS,724.0,5.235,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
TOTAL DE VOTOS EMITIDOS,13831.0,100.0,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
TOTAL DE VOTOS VÁLIDOS,417.0,92.461,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
VOTOS EN BLANCO,4.0,0.887,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
VOTOS NULOS,30.0,6.652,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
TOTAL DE VOTOS EMITIDOS,451.0,100.0,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
TOTAL DE VOTOS VÁLIDOS,425.0,94.655,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
VOTOS EN BLANCO,7.0,1.559,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
VOTOS NULOS,17.0,3.786,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
TOTAL DE VOTOS EMITIDOS,449.0,100.0,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
TOTAL DE VOTOS VÁLIDOS,703.0,94.489,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
VOTOS EN BLANCO,5.0,0.672,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
VOTOS NULOS,36.0,4.839,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
TOTAL DE VOTOS EMITIDOS,744.0,100.0,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
TOTAL DE VOTOS VÁLIDOS,284.0,97.26,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
VOTOS EN BLANCO,2.0,0.685,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
VOTOS NULOS,6.0,2.055,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
TOTAL DE VOTOS EMITIDOS,292.0,100.0,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
TOTAL DE VOTOS VÁLIDOS,315.0,95.166,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
VOTOS EN BLANCO,0.0,0.0,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
VOTOS NULOS,16.0,4.834,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
TOTAL DE VOTOS EMITIDOS,331.0,100.0,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
TOTAL DE VOTOS VÁLIDOS,2222.0,86.459,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
VOTOS EN BLANCO,71.0,2.763,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
VOTOS NULOS,277.0,10.778,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
TOTAL DE VOTOS EMITIDOS,2570.0,100.0,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
TOTAL DE VOTOS VÁLIDOS,1645.0,94.486,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
VOTOS EN BLANCO,14.0,0.804,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
VOTOS NULOS,82.0,4.71,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
TOTAL DE VOTOS EMITIDOS,1741.0,100.0,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
TOTAL DE VOTOS VÁLIDOS,649.0,93.786,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
VOTOS EN BLANCO,7.0,1.012,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
