party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PERUANOS POR EL KAMBIO ,2397.0,47.835,32.409,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
FUERZA POPULAR ,2614.0,52.165,35.343,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
PERUANOS POR EL KAMBIO ,2052.0,67.857,56.545,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
FUERZA POPULAR ,972.0,32.143,26.784,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
PERUANOS POR EL KAMBIO ,8652.0,42.437,39.41,010400,PERÚ,AMAZONAS,LUYA,TODOS
FUERZA POPULAR ,11736.0,57.563,53.457,010400,PERÚ,AMAZONAS,LUYA,TODOS
PERUANOS POR EL KAMBIO ,1266.0,46.993,43.105,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
FUERZA POPULAR ,1428.0,53.007,48.621,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
PERUANOS POR EL KAMBIO ,230.0,35.385,33.189,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
FUERZA POPULAR ,420.0,64.615,60.606,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
PERUANOS POR EL KAMBIO ,455.0,40.734,37.265,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
FUERZA POPULAR ,662.0,59.266,54.218,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
PERUANOS POR EL KAMBIO ,369.0,38.518,35.549,010405,PERÚ,AMAZONAS,LUYA,CONILA
FUERZA POPULAR ,589.0,61.482,56.744,010405,PERÚ,AMAZONAS,LUYA,CONILA
PERUANOS POR EL KAMBIO ,180.0,48.387,47.368,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
FUERZA POPULAR ,192.0,51.613,50.526,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
PERUANOS POR EL KAMBIO ,622.0,58.022,53.208,010401,PERÚ,AMAZONAS,LUYA,LAMUD
FUERZA POPULAR ,450.0,41.978,38.494,010401,PERÚ,AMAZONAS,LUYA,LAMUD
PERUANOS POR EL KAMBIO ,133.0,25.142,24.449,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
FUERZA POPULAR ,396.0,74.858,72.794,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
PERUANOS POR EL KAMBIO ,257.0,51.297,48.582,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
FUERZA POPULAR ,244.0,48.703,46.125,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
PERUANOS POR EL KAMBIO ,758.0,39.377,36.32,010409,PERÚ,AMAZONAS,LUYA,LUYA
FUERZA POPULAR ,1167.0,60.623,55.918,010409,PERÚ,AMAZONAS,LUYA,LUYA
PERUANOS POR EL KAMBIO ,152.0,60.079,55.882,010410,PERÚ,AMAZONAS,LUYA,LUYA VIEJO
FUERZA POPULAR ,101.0,39.921,37.132,010410,PERÚ,AMAZONAS,LUYA,LUYA VIEJO
PERUANOS POR EL KAMBIO ,226.0,47.881,44.752,010411,PERÚ,AMAZONAS,LUYA,MARIA
FUERZA POPULAR ,246.0,52.119,48.713,010411,PERÚ,AMAZONAS,LUYA,MARIA
PERUANOS POR EL KAMBIO ,602.0,40.952,38.15,010412,PERÚ,AMAZONAS,LUYA,OCALLI
FUERZA POPULAR ,868.0,59.048,55.006,010412,PERÚ,AMAZONAS,LUYA,OCALLI
PERUANOS POR EL KAMBIO ,548.0,38.948,35.561,010413,PERÚ,AMAZONAS,LUYA,OCUMAL
FUERZA POPULAR ,859.0,61.052,55.743,010413,PERÚ,AMAZONAS,LUYA,OCUMAL
PERUANOS POR EL KAMBIO ,564.0,37.802,34.307,010414,PERÚ,AMAZONAS,LUYA,PISUQUIA
FUERZA POPULAR ,928.0,62.198,56.448,010414,PERÚ,AMAZONAS,LUYA,PISUQUIA
PERUANOS POR EL KAMBIO ,345.0,67.78,62.613,010423,PERÚ,AMAZONAS,LUYA,PROVIDENCIA
FUERZA POPULAR ,164.0,32.22,29.764,010423,PERÚ,AMAZONAS,LUYA,PROVIDENCIA
PERUANOS POR EL KAMBIO ,145.0,42.899,40.39,010415,PERÚ,AMAZONAS,LUYA,SAN CRISTOBAL
